MonitoringStation,Group,MonitoringLocation,Parameter,Unit,UnitId,Date,Value,SourceColumn,DatasetName,DatasetID,Sheet,SensorID,SoilMoisture_pct,Evelation,latitude,Location,longitude,PlotType,Precision_m,descrip,plot,_generic_id,Coords,Description
15,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-17,11.17117004604514,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_24A9,11.17117004604514,915.6,-25.1682219,Sensor 7_24a9,29.4178916,Butternut_plot15,4.7,Sensor  7 butternut field ,,15,"{""type"":""Point"",""coordinates"":[29.4178916,-25.1682219]}",
16,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-12-02,16.57872229856448,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_23A9,16.57872229856448,921.2,-25.1683351,Sensor 17_23a9,29.4182517,Butternut_plot15,4.1,Sensor 17 butternut field ,,16,"{""type"":""Point"",""coordinates"":[29.4182517,-25.1683351]}",
17,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-11-29,16.30879438919045,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_23A9,16.30879438919045,921.2,-25.1683351,Sensor 17_23a9,29.4182517,Butternut_plot15,4.1,Sensor 17 butternut field ,,17,"{""type"":""Point"",""coordinates"":[29.4182517,-25.1683351]}",
18,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-27,16.51705142943236,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_23A9,16.51705142943236,921.2,-25.1683351,Sensor 17_23a9,29.4182517,Butternut_plot15,4.1,Sensor 17 butternut field ,,18,"{""type"":""Point"",""coordinates"":[29.4182517,-25.1683351]}",
19,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-24,19.26391528355666,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_23A9,19.26391528355666,921.2,-25.1683351,Sensor 17_23a9,29.4182517,Butternut_plot15,4.1,Sensor 17 butternut field ,,19,"{""type"":""Point"",""coordinates"":[29.4182517,-25.1683351]}",
20,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-22,35.68163616945559,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_23A9,35.68163616945559,921.2,-25.1683351,Sensor 17_23a9,29.4182517,Butternut_plot15,4.1,Sensor 17 butternut field ,,20,"{""type"":""Point"",""coordinates"":[29.4182517,-25.1683351]}",
21,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-21,33.87686019882311,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_23A9,33.87686019882311,921.2,-25.1683351,Sensor 17_23a9,29.4182517,Butternut_plot15,4.1,Sensor 17 butternut field ,,21,"{""type"":""Point"",""coordinates"":[29.4182517,-25.1683351]}",
22,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-17,9.440342271845802,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_23A9,9.440342271845802,921.2,-25.1683351,Sensor 17_23a9,29.4182517,Butternut_plot15,4.1,Sensor 17 butternut field ,,22,"{""type"":""Point"",""coordinates"":[29.4182517,-25.1683351]}",
23,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-12-02,19.10026573104697,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_5ACF,19.10026573104697,915.0,-25.1681767,Sensor 9_5acf,29.4179032,Butternut_plot15,4.2,Sensor 9 butternut field ,,23,"{""type"":""Point"",""coordinates"":[29.4179032,-25.1681767]}",
24,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-11-29,16.36712487347152,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_5ACF,16.36712487347152,915.0,-25.1681767,Sensor 9_5acf,29.4179032,Butternut_plot15,4.2,Sensor 9 butternut field ,,24,"{""type"":""Point"",""coordinates"":[29.4179032,-25.1681767]}",
