Sheet,SensorID,Date,SoilMoisture_pct,Evelation,latitude,Location,longitude,PlotType,Precision_m,descrip,plot,_generic_id,geometry,WKT
Plot 15 sensors,_5ACF,25-10-22,33.10085067978878,915.0,-25.1681767,Sensor 9_5acf,29.4179032,Butternut_plot15,4.2,Sensor 9 butternut field ,,27,POINT (29.4179032 -25.1681767),POINT (29.417903 -25.168177)
Plot 15 sensors,_5ACF,25-10-21,32.16358149363534,915.0,-25.1681767,Sensor 9_5acf,29.4179032,Butternut_plot15,4.2,Sensor 9 butternut field ,,28,POINT (29.4179032 -25.1681767),POINT (29.417903 -25.168177)
Plot 15 sensors,_5ACF,25-10-17,11.92729407263602,915.0,-25.1681767,Sensor 9_5acf,29.4179032,Butternut_plot15,4.2,Sensor 9 butternut field ,,29,POINT (29.4179032 -25.1681767),POINT (29.417903 -25.168177)
Plot 15 sensors,_7AD6,25-12-02,15.3351964292043,920.5,-25.1683183,Sensor 18_7ad6,29.4182716,Butternut_plot15,4.4,Sensor 18 butternut field ,,30,POINT (29.4182716 -25.1683183),POINT (29.418272 -25.168318)
Plot 15 sensors,_7AD6,25-11-29,15.23954671708076,920.5,-25.1683183,Sensor 18_7ad6,29.4182716,Butternut_plot15,4.4,Sensor 18 butternut field ,,31,POINT (29.4182716 -25.1683183),POINT (29.418272 -25.168318)
Plot 15 sensors,_7AD6,25-10-27,16.90270053426075,920.5,-25.1683183,Sensor 18_7ad6,29.4182716,Butternut_plot15,4.4,Sensor 18 butternut field ,,32,POINT (29.4182716 -25.1683183),POINT (29.418272 -25.168318)
Plot 15 sensors,_7AD6,25-10-24,17.05737453637057,920.5,-25.1683183,Sensor 18_7ad6,29.4182716,Butternut_plot15,4.4,Sensor 18 butternut field ,,33,POINT (29.4182716 -25.1683183),POINT (29.418272 -25.168318)
Plot 15 sensors,_7AD6,25-10-22,25.06560053479448,920.5,-25.1683183,Sensor 18_7ad6,29.4182716,Butternut_plot15,4.4,Sensor 18 butternut field ,,34,POINT (29.4182716 -25.1683183),POINT (29.418272 -25.168318)
Plot 15 sensors,_7AD6,25-10-21,24.27494699514434,920.5,-25.1683183,Sensor 18_7ad6,29.4182716,Butternut_plot15,4.4,Sensor 18 butternut field ,,35,POINT (29.4182716 -25.1683183),POINT (29.418272 -25.168318)
Plot 15 sensors,_7AD6,25-10-17,8.858615321247504,920.5,-25.1683183,Sensor 18_7ad6,29.4182716,Butternut_plot15,4.4,Sensor 18 butternut field ,,36,POINT (29.4182716 -25.1683183),POINT (29.418272 -25.168318)
Plot 15 sensors,_8121,25-12-02,16.30879438919045,924.4,-25.1682283,Sensor 12_8121,29.4179883,Butternut_plot15,3.9,Sensor 12 butternut field ,,37,POINT (29.4179883 -25.1682283),POINT (29.417988 -25.168228)
Plot 15 sensors,_8121,25-11-29,16.08430878929589,924.4,-25.1682283,Sensor 12_8121,29.4179883,Butternut_plot15,3.9,Sensor 12 butternut field ,,38,POINT (29.4179883 -25.1682283),POINT (29.417988 -25.168228)
Plot 15 sensors,_8121,25-10-27,17.25524953518001,924.4,-25.1682283,Sensor 12_8121,29.4179883,Butternut_plot15,3.9,Sensor 12 butternut field ,,39,POINT (29.4179883 -25.1682283),POINT (29.417988 -25.168228)
Plot 15 sensors,_8121,25-10-24,19.55470500076627,924.4,-25.1682283,Sensor 12_8121,29.4179883,Butternut_plot15,3.9,Sensor 12 butternut field ,,40,POINT (29.4179883 -25.1682283),POINT (29.417988 -25.168228)
Plot 15 sensors,_8121,25-10-22,34.47143466415181,924.4,-25.1682283,Sensor 12_8121,29.4179883,Butternut_plot15,3.9,Sensor 12 butternut field ,,41,POINT (29.4179883 -25.1682283),POINT (29.417988 -25.168228)
Plot 15 sensors,_8121,25-10-21,33.68090812995035,924.4,-25.1682283,Sensor 12_8121,29.4179883,Butternut_plot15,3.9,Sensor 12 butternut field ,,42,POINT (29.4179883 -25.1682283),POINT (29.417988 -25.168228)
Plot 15 sensors,_8121,25-10-18,18.06260244976801,924.4,-25.1682283,Sensor 12_8121,29.4179883,Butternut_plot15,3.9,Sensor 12 butternut field ,,43,POINT (29.4179883 -25.1682283),POINT (29.417988 -25.168228)
Plot 15 sensors,_8121,25-10-17,14.96883540481513,924.4,-25.1682283,Sensor 12_8121,29.4179883,Butternut_plot15,3.9,Sensor 12 butternut field ,,44,POINT (29.4179883 -25.1682283),POINT (29.417988 -25.168228)
Plot 15 sensors,_2C27,25-12-02,14.24893424940776,920.8000000000001,-25.1684023,Sensor 15_2c27,29.4180538,Butternut_plot15,4.133,Sensor 15,,45,POINT (29.4180538 -25.1684023),POINT (29.418054 -25.168402)
Plot 15 sensors,_2C27,25-10-27,15.40883984052931,920.8000000000001,-25.1684023,Sensor 15_2c27,29.4180538,Butternut_plot15,4.133,Sensor 15,,46,POINT (29.4180538 -25.1684023),POINT (29.418054 -25.168402)
