SeriesId,UnitsId,Name,TopologyId,Key,DatasetId,DatasetName
1130,5,Total Utilizable Water,429,lvl1:Kenya_lvl2:Subbasins_lvl3:1050009010,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1131,5,Total Utilizable Water,430,lvl1:Kenya_lvl2:Subbasins_lvl3:1051108020,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1132,5,Total Utilizable Water,431,lvl1:Kenya_lvl2:Subbasins_lvl3:1051108160,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1133,5,Total Utilizable Water,432,lvl1:Kenya_lvl2:Subbasins_lvl3:1059000020,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1134,5,Total Utilizable Water,433,lvl1:Kenya_lvl2:Subbasins_lvl3:1051159540,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1135,5,Total Utilizable Water,434,lvl1:Kenya_lvl2:Subbasins_lvl3:1059000220,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1136,5,Total Utilizable Water,436,lvl1:Kenya_lvl2:Subbasins_lvl3:1051059910,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1137,5,Total Utilizable Water,437,lvl1:Kenya_lvl2:Subbasins_lvl3:1051060130,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1138,5,Total Utilizable Water,439,lvl1:Kenya_lvl2:Subbasins_lvl3:1050040550,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1139,5,Total Utilizable Water,440,lvl1:Kenya_lvl2:Subbasins_lvl3:1050040660,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1140,5,Total Utilizable Water,441,lvl1:Kenya_lvl2:Subbasins_lvl3:1050040920,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1141,5,Total Utilizable Water,443,lvl1:Kenya_lvl2:Subbasins_lvl3:1050041020,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1142,5,Total Utilizable Water,444,lvl1:Kenya_lvl2:Subbasins_lvl3:1050041270,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1143,2,Pump Status,810,lvl1:Kenya_lvl2:Pumps_lvl3:PK006,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1144,2,Pump Status,811,lvl1:Kenya_lvl2:Pumps_lvl3:PK008,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1145,2,Pump Status,812,lvl1:Kenya_lvl2:Pumps_lvl3:PK013,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1146,2,Pump Status,813,lvl1:Kenya_lvl2:Pumps_lvl3:PK016,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1147,2,Pump Status,814,lvl1:Kenya_lvl2:Pumps_lvl3:PK017,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1148,2,Pump Status,815,lvl1:Kenya_lvl2:Pumps_lvl3:PK019,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1149,2,Pump Status,816,lvl1:Kenya_lvl2:Pumps_lvl3:PK020,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1150,2,Pump Status,817,lvl1:Kenya_lvl2:Pumps_lvl3:PK021,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1151,2,Pump Status,818,lvl1:Kenya_lvl2:Pumps_lvl3:PK023,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1152,2,Pump Status,819,lvl1:Kenya_lvl2:Pumps_lvl3:PK026,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1153,2,Pump Status,820,lvl1:Kenya_lvl2:Pumps_lvl3:PK027,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1154,2,Pump Status,821,lvl1:Kenya_lvl2:Pumps_lvl3:PK029,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1155,2,Pump Status,822,lvl1:Kenya_lvl2:Pumps_lvl3:PK033,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1156,2,Pump Status,823,lvl1:Kenya_lvl2:Pumps_lvl3:PK034,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1157,2,Pump Status,824,lvl1:Kenya_lvl2:Pumps_lvl3:PK043,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1158,2,Pump Status,825,lvl1:Kenya_lvl2:Pumps_lvl3:PK054,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1159,2,Pump Status,826,lvl1:Kenya_lvl2:Pumps_lvl3:PK055,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1160,2,Pump Status,827,lvl1:Kenya_lvl2:Pumps_lvl3:PK056,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1161,2,Pump Status,828,lvl1:Kenya_lvl2:Pumps_lvl3:PK057,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1162,2,Pump Status,829,lvl1:Kenya_lvl2:Pumps_lvl3:PK061,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1163,2,Pump Status,830,lvl1:Kenya_lvl2:Pumps_lvl3:PK064,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1164,2,Pump Status,831,lvl1:Kenya_lvl2:Pumps_lvl3:PK067,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1165,2,Pump Status,832,lvl1:Kenya_lvl2:Pumps_lvl3:PK069,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1166,2,Pump Status,833,lvl1:Kenya_lvl2:Pumps_lvl3:PK074,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1167,2,Pump Status,834,lvl1:Kenya_lvl2:Pumps_lvl3:PK075,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1168,2,Pump Status,835,lvl1:Kenya_lvl2:Pumps_lvl3:PK076,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1169,2,Pump Status,836,lvl1:Kenya_lvl2:Pumps_lvl3:PK081,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1170,2,Pump Status,837,lvl1:Kenya_lvl2:Pumps_lvl3:PK082,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1171,2,Pump Status,838,lvl1:Kenya_lvl2:Pumps_lvl3:PK085,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1172,2,Pump Status,839,lvl1:Kenya_lvl2:Pumps_lvl3:PK090,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1173,2,Pump Status,840,lvl1:Kenya_lvl2:Pumps_lvl3:PK092,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
